"Massachusetts","84.8","B","42.2376","-71.7354","Massachusetts","Status:96.2(A)","Change:73.9(C)","Equity:84.1(B)","
"
"New Jersey","83.5","B","39.7595","-74.7335","New Jersey","Status:93.9(A)","Change:77.3(C+)","Equity:76.0(C)","
"
"Florida","80.2","B-","27.6661","-81.3526","Florida","Status:76.5(C)","Change:78.2(C+)","Equity:90.5(A-)","
"
"Virginia","76.1","C","37.5044","-78.856","Virginia","Status:81.3(B-)","Change:67.0(D+)","Equity:82.8(B)","
"
"Connecticut","76.3","C","41.6059","-72.7384","Connecticut","Status:86.7(B+)","Change:68.4(D+)","Equity:71.9(C-)","
"
"Illinois","76.0","C","40.1191","-89.1545","Illinois","Status:75.8(C)","Change:67.5(D+)","Equity:91.1(A-)","
"
"Maryland","75.7","C","39.0334","-76.7702","Maryland","Status:80.3(B-)","Change:70.6(C-)","Equity:76.8(C+)","
"
"Wisconsin","75.4","C","44.6509","-89.7299","Wisconsin","Status:81.0(B-)","Change:68.3(D+)","Equity:77.9(C+)","
"
"Pennsylvania","75.2","C","40.8987","-77.847","Pennsylvania","Status:79.3(C+)","Change:70.4(C-)","Equity:76.5(C)","
"
"Utah","74.3","C","38.8649","-110.9159","Utah","Status:77.7(C+)","Change:69.0(D+)","Equity:77.7(C+)","
"
"Minnesota","74.3","C","46.8126","-94.6526","Minnesota","Status:82.2(B-)","Change:65.0(D)","Equity:76.8(C+)","
"
"Tennessee","73.9","C","35.8165","-86.0515","Tennessee","Status:66.9(D+)","Change:73.0(C)","Equity:88.0(B+)","
"
"Washington","72.5","C-","47.3815","-120.4236","Washington","Status:76.5(C)","Change:68.5(D+)","Equity:72.4(C-)","
"
"Colorado","73.8","C","39.0001","-105.5453","Colorado","Status:78.5(C+)","Change:67.1(D+)","Equity:77.0(C+)","
"
"North Carolina","73.6","C","35.5359","-79.2521","North Carolina","Status:74.8(C)","Change:65.2(D)","Equity:86.3(B)","
"
"Idaho","73.3","C","43.913","-115.274","Idaho","Status:71.6(C-)","Change:69.0(D+)","Equity:83.8(B)","
"
"Indiana","73.6","C","39.9126","-86.2849","Indiana","Status:75.8(C)","Change:66.8(D+)","Equity:81.6(B-)","
"
"Nevada","73.0","C","39.348","-116.6504","Nevada","Status:60.3(D-)","Change:75.8(C)","Equity:90.3(A-)","
"
"Arizona","72.1","C-","34.2956","-111.6596","Arizona","Status:62.7(D)","Change:71.6(C-)","Equity:89.5(B+)","
"
"New York","73.4","C","43.3649","-74.8466","New York","Status:75.2(C)","Change:66.0(D)","Equity:83.3(B)","
"
"California","73.0","C","39.633","-122.032","California","Status:69.0(D+)","Change:75.9(C)","Equity:75.0(C)","
"
"Wyoming","72.5","C","43.0273","-107.5545","Wyoming","Status:70.8(C-)","Change:64.4(D)","Equity:89.6(A-)","
"
"Georgia","72.1","C-","32.6524","-83.4511","Georgia","Status:68.6(D+)","Change:75.5(C)","Equity:72.2(C-)","
"
"New Hampshire","72.1","C-","43.6916","-71.5628","New Hampshire","Status:75.5(C)","Change:60.5(D-)","Equity:86.4(B)","
"
"Hawaii","72.0","C-","26.6006","-105.5203","Hawaii","Status:62.2(D-)","Change:72.5(C)","Equity:88.4(B+)","
"
"Vermont","71.0","C-","44.0725","-72.6624","Vermont","Status:75.8(C)","Change:59.4(F)","Equity:83.0(B)","
"
"Ohio","71.5","C-","40.37","-82.869","Ohio","Status:75.0(C)","Change:66.8(D+)","Equity:73.8(C)","
"
